Bilmodell;Test;Rekkevidde i testen;Oppgitt WLTP;Avvik i prosent;Forbruk (målt) kWt/ 100;Forbruk (oppgitt) kWt/ 100;Utstyrsnivå
Volkswagen ID.3 1st Plus;Sommer 2021;421.0 ;420 ;0.24;13.3;16.2;1st Plus
Volkswagen ID.3 1st Plus;Vinter 2021;340 ;418 ;−18.66;16.6;15.8;1st Plus
Volkswagen ID.3 Pro S;Sommer 2021;564.0 ;539 ;4.64;13.5;16.2;Pro S 5-seter
Volkswagen ID.4 1st Max;Sommer 2021;532.0 ;487 ;9.24;14.5;18.2;1st Max
Volkswagen e-Golf;Sommer 2020;259 ;222 ;16.66;11.4;15.7;Exclusive
Volkswagen e-Golf;Vinter 2020;198 ;222 ;−10.77;14.9;15.9;Exclusive
Volkswagen e-Up!;Sommer 2020;289 ;251 ;15.10;9.7;14.5;Entry
Volkswagen e-Up!;Vinter 2020;226 ;251 ;−9.96;13.0;16.0;Entry
Volvo XC40 Recharge P8;Sommer 2021;445.4 ;415 ;7.33;17.5;24.0;Recharge P8 AWD
Volvo XC40 Recharge P8;Vinter 2021;332 ;409 ;−18.82;21.8;23.9;Recharge Pure Electric P8
Xpeng G3;Sommer 2020;506 ;450 ;12.44;13.1;14.7;Smart
Xpeng G3;Sommer 2021;438.9 ;451 ;−2.68;-;14.7;Premium
Xpeng G3;Vinter 2021;341 ;451 ;−24.39;16.7;14.7;Smart
